autor,partido,uf,discurso,data,id_sessao
Rodrigo Maia,DEM,RJ,"Concedo a palavra ao Deputado Tadeu Alencar, pelo tempo da orientação somado ao da Liderança do PSB.",10/07/2019,191
TADEU ALENCAR,PSB,PE,"Sr. Presidente, Sras. Deputadas e Srs. Deputados, faz 6 meses que o Brasil, inaugurando um novo Governo, não discute outro assunto senão a reforma da Previdência. Estamos diante de uma proposta de reforma que, sob o pretexto de combater privilégios, apresenta ao Brasil o impacto de mais de 1 trilhão de reais, que recaem, na versão original e na versão aprovada na Comissão Especial, sobre mais de 80% dos impactos no Regime Geral de Previdência Social. Bastaria este dado acerca dos impactos, na grande maioria, preponderantemente sobre o Regime Geral, mas lembramos ao povo brasileiro que nos acompanha: o Regime Geral tem teto de 5.800 reais e a média das aposentadorias é de apenas 1.256 reais. Evidentemente, se a proposta tivesse o fim elevado de combater os privilégio o Regime Geral não deveria ser objeto de nenhuma proposta que perseguisse o fim dos privilégios. Mas não é verdade. Esta proposta tem a finalidade de ajuste fiscal, pura e simplesmente, doa em quem doer, não interessa se a dor é da população mais pobre do Brasil, não interessa se vai doer nos camponeses das regiões remotas do País, não interessa se os comerciários, secretárias, garçons e motoristas de táxi vão ter, como efeito desta proposta, que trabalhar muito mais, contribuir muito mais para o sistema da Previdência e ter reduzidos seus benefícios. Neste curto tempo de fala neste Plenário, não é possível descer a detalhes destes efeitos, mas o povo brasileiro, que está anestesiado, que não está entendendo a gravidade desta proposta, em pouco tempo terá a oportunidade de ver o que hoje é objeto de comemoração por muitos aqui, que serão lembrados nas próximas eleições. Nós, no entanto, não estamos preocupados com eleições. Nós temos a responsabilidade histórica de fazer uma denúncia política sobre os efeitos dramáticos de um país que já vive desigualdades enormes, que tem mais de 13 milhões de desempregados, 30 milhões de pessoas fora do mercado de trabalho. Esta é que deveria ser a pauta do Congresso Nacional, do Governo que foi eleito na expectativa muito grande de mudança do povo brasileiro. Porém, a alternativa que se oferece agride a população mais pobre e, ao mesmo tempo, os servidores públicos, colocados como grandes vilões deste País. Não há políticas públicas que possam ser desenvolvidas senão pelos servidores públicos. Se é verdade a crueldade no Regime Geral, é igualmente verdade que falta proporcionalidade às regras de transição, que atingem tanto os servidores do Regime Geral, como os do Regime Próprio de Previdência Social. Ninguém aqui apontou os privilégios. Nós sabemos perfeitamente quais são os privilégios do modelo econômico que sacrifica a população mais pobre, que atinge cruelmente a classe média, mas que não toca num fio de cabelo da elite brasileira em seus interesses. O Partido Socialista Brasileiro, que tem mais de 70 anos de história e que, durante sua história, sempre defendeu o combate às desigualdades no Brasil, defende, sim, ajustes na Previdência, como houve em vários governos de diferentes perfis ideológicos, como o Governo Fernando Henrique, o Governo Lula e o Governo da Presidente Dilma. No entanto, os ajustes que nós defendemos devem ser proporcionais à capacidade de oferecer sacrifícios ao Brasil, segundo sua capacidade econômica. Neste caso, não são os pobres que têm mais sacrifícios a oferecer ao Brasil. Os pobres precisam de trabalho, de oportunidades e de educação de qualidade. O dia de hoje ficará marcado como o enterro da Previdência Social, que, redistribuindo recursos, é responsável, em 30 anos, por diminuir as desigualdades. Este dia ficará marcado na memória do povo brasileiro, que, volto a dizer, está anestesiado, sem entender, por força de propagandas enganosas e de argumentos ostentados pelas elites brasileiras, que, se não se der a aprovação desta reforma, o Brasil vai se acabar. O Brasil já está se acabando, por força da insensibilidade de suas elites. Por isso, o PSB, embora faça este protesto, resistindo bravamente, com o apoio da nossa bancada, é contra esta reforma da Previdência.",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Concedo a palavra ao Deputado Silvio Costa Filho, pela Liderança do PRB.",10/07/2019,191
SILVIO COSTA FILHO,PRB,PE,"Sr. Presidente, quero, primeiro, parabenizar V.Exa., em nome do Partido Republicano Brasileiro, pela condução dos trabalhos e, sobretudo, pela responsabilidade cívica de V.Exa. com o País. Eu venho de Pernambuco, Estado muito pobre do nosso País. Se eu estivesse pensando na próxima eleição, poderia ser muito mais cômodo e mais fácil para mim votar contra a reforma da Previdência. Mas é preciso que o Congresso Nacional e a Câmara Federal pensem muito mais nas próximas gerações do que nas próximas eleições. Eu poderia estar fazendo o discurso falso, demagogo e populista, jogando para os setores da opinião pública. Quero iniciar minha fala pedindo uma salva de palmas aos Deputados do PDT e do PSB que vão votar favoravelmente à reforma da Previdência. (Palmas.) Isso mostra coerência e responsabilidade com o Brasil. Quero parabenizar a Deputada Tabata Amaral, que tem sofrido muita pressão. Antes da retórica e do populismo, neste momento nosso País tem que ser mais do que nunca o Brasil. Esta não é a reforma de Bolsonaro. Esta não é a reforma da Câmara Federal. Esta é a reforma do futuro do Brasil. É disso que eu tenho plena convicção. Ao lado dos meus amigos Marcelo Ramos e Samuel Moreira, eu tive, ao longo desses meses, a oportunidade de ouvir, dialogar, conversar com sindicatos, com entidades, com todos os canais institucionais de participação popular. Estou convencido, aliás, nós do PRB estamos convencidos de que, se esta reforma da Previdência não passar, o Brasil vai quebrar. É irresponsabilidade dizer que a Previdência não está quebrada. Enquanto os países da OCDE gastam 7% do PIB com a Previdência, o Brasil gasta 14%. Quando pegamos o orçamento da saúde (120 bilhões), o orçamento da educação (125 bilhões), todo o Bolsa Família (30 bilhões), estamos falando de 270 bilhões de reais ao ano. No entanto, só o déficit da Previdência é de 310 bilhões de reais, o que significa dizer que o povo brasileiro está gastando mais com o déficit da Previdência do que com saúde, educação e Bolsa Família. Na minha avaliação, quem defende o trabalhador é quem defende o emprego. Quem defende o emprego é quem defende o trabalhador. Qualquer Presidente responsável Š Ciro Gomes, Haddad, Geraldo Alckmin, qualquer que seja Š teria, neste momento, que fazer a reforma da Previdência. O Presidente Lula fez uma reforma. A Presidenta Dilma criou o FUNPRESP. Fernando Henrique também fez. É mais do que natural, portanto, que o Brasil neste momento esteja votando. Então, Sr. Presidente, nós que fazemos o PRB defendemos que o Brasil avance nas reformas. Este é o primeiro passo, um ajuste fiscal. Depois vamos avançar na tributária, no novo pacto federativo, e ajudar o Brasil a retomar o emprego e a renda. Eu sou homem de centro, Presidente. Eu defendo o Bolsa Família, eu defendo o ProUni, eu defendo o PRONATEC, eu defendo o Luz para Todos, mas o maior programa social do Brasil tem que ser um emprego e a renda para a população, porque, se nós não tivermos a reforma, nós não teremos emprego. E, tenho certeza, a história vai mostrar às futuras gerações que todos que estão aqui favoráveis à reforma da Previdência, nós estamos do lado da verdade e do lado do Brasil. O PRB vota, fechado, na reforma da Previdência, sob a Liderança do nosso Líder Jhonatan de Jesus e do Ministro Marcos Pereira. Estamos juntos! (Palmas.)",10/07/2019,191
Rodrigo Maia,DEM,RJ,Como vota o PSDB? (Pausa.) Como vota o PDT? (Pausa.) O PDT usará o tempo de Liderança.,10/07/2019,191
ANDRÉ FIGUEIREDO,PDT,CE,"Sr. Presidente, Sras. e Srs. Deputados, hoje chegamos ao ponto final de algo que, infelizmente, tem sido o único tema que pauta este nosso pobre e sofrido País. E o que é pior: nós nos apegamos a uma reforma da Previdência que só tira direitos de quem já não os tem. Nós que aqui estamos somos do PDT, herdeiros do trabalhismo de Getúlio Vargas, que criava grandes empresas nacionais, as que hoje estão sendo sucateadas que garantia direitos dos trabalhadores, quando já não se tinha que defendia o direito de voto das mulheres, de que hoje querem tirar o direito à dignidade como aposentada ou como pensionista. Nós somos do trabalhismo de João Goulart, quando reforma era reforma: a agrária, que garantia terras para quem precisava a reforma urbana, que defendia moradia digna. Nós somos do PDT de Brizola e de Darcy Ribeiro, que faziam uma revolução pela educação. Nós não somos os vendilhões da Pátria! Nós somos brasileiros. Aqui representamos um povo que sofre e luta, mas acredita que o seu voto pode mudar o País. Que não venham Deputados de outros partidos elogiar futuros traidores do PDT e do PSB, porque estes dois partidos têm história! E nós ainda acreditamos que vários desses companheiros e companheiras possam, mais uma vez, ter a sensatez que sempre nos norteou e estar lado a lado conosco em todas as lutas. E que votem a favor do Brasil, que votem contra essa reforma! Que nós possamos defender a causa dos professores, que nós possamos defender a causa das mulheres, que nós possamos defender a causa dos mais humildes. Fazer uma reforma em que mais de 80% vai ser retirado de quem recebe até 3 salários mínimos, isso é um crime de lesa-pátria! Essa bandeira que muitos aqui tremulam não é a bandeira de Bolsonaro, não é a bandeira dos que foram às ruas pedir o fechamento do Congresso: é a bandeira de todos nós! É a bandeira do Brasil! (Palmas.) Minhas senhoras e meus senhores, o Brasil vai acordar. Quem votar nesta reforma, podem ter certeza Š e vai ser no curto prazo Š, vai ser a copeira, vai ser o pedreiro, vai ser aquele que vai sentir na pele o que é ter 40% a menos de aposentadoria, logo após a eventual promulgação desta PEC. Vai ser a viúva que, ao perder seu marido, verá o que é perder 50% de uma renda familiar de 2 mil reais, que vai passar para 1 mil reais da noite para o dia. É isso que nós queremos para o nosso País? Enquanto isso, a dívida dos bancos só faz aumentar, a dívida pública. Tantos bancos defendem que queriam a capitalização, e muitos dizem que foi retirada a capitalização. Ora, por que os bancos estão tão calados? Porque há um dispositivo lá que tirou a natureza pública do Fundo de Previdência Complementar do Servidor Público e abriu para qualquer entidade de previdência complementar aberta, favorecendo, mais do que a capitalização, o interesse dos grandes bancos. Tudo que fazemos nesta Casa está sendo gravado na história, está sendo gravado nos corações dos brasileiros, que estão nos assistindo. Já, já nós prestaremos contas a eles. Já, já nós estaremos dentro deste Parlamento dizendo: Cadê os empregos? Cadê o desenvolvimento? Em compensação, estaremos visualizando o empobrecimento, a miséria, a infelicidade da grande maioria do povo brasileiro. Srs. Deputados, Sras. Deputadas, ainda dá tempo! Ainda dá tempo de mostrarmos que somos corajosos e não somos vendidos a interesses sorrateiros que perpassam o Palácio do Planalto, por aí afora. Concluo com frase do nosso saudoso e eterno Brizola: Mais vale a pena morrer lutando do que passar a vida em vão! Avante, companheiros!",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Com a palavra o Deputado Carlos Sampaio, pela Liderança do PSDB e orientação de bancada.",10/07/2019,191
CARLOS SAMPAIO,PSDB,SP,"Sr. Presidente, Srs. Líderes, Deputadas e Deputados, confesso que hoje subo a esta tribuna não com um sentimento de comemoração ou mesmo de alegria. Ao contrário, tomado pela sensação de um dever cumprido. Não venho a esta tribuna para fazer discursos para dizer da alegria do nosso posicionamento. Ao contrário, venho trazer serenidade e dizer a todos que estamos fazendo aquilo que o Brasil esperava que fizéssemos. Quando assumi a Liderança do PSDB, deixei claro que não integrávamos a base do Governo, deixei claro que não queríamos participar do Governo, mas que de todas as medidas que viessem deste Governo em defesa do País, o PSDB estaria ao lado deste pleito e desta reivindicação apresentada pelo Governo Federal. Não acho que é o dia Š confesso a todos Š de trazermos aqui este sentimento de que estamos a vencer não, o Brasil é quem está vencendo. Quando indicamos o Relator do PSDB para formatar a reforma da Previdência, nós o fizemos convencidos de que ele faria, sim, o ajuste fiscal necessário, mas com a justiça social que deveria ocorrer nesta reforma da Previdência. Quando me falam que nós estamos a cortar direitos dos trabalhadores, perdoem-me: eu quero evitar que sejam cortados os mais importantes destes mesmos direitos, que é o direito do trabalhador de envelhecer com dignidade. E é isto que o PSDB faz nesta tarde: defender a dignidade dos futuros aposentados. O Brasil, se está na situação em que está Š e muitos dizem: é pelas fraudes, é pelos desmandos, é por tudo que aconteceu de desvios na Previdência Š, sim, pode ser. E os responsáveis devem ser punidos. Perseguirei essa punição com todas as minhas forças, mas é mentira dizer à população brasileira que, no momento em que punirmos esses criminosos, salvamos a Previdência. Não, a Previdência precisa de um ajuste fiscal sério, sob pena de aviltar o direito de todos os brasileiros que buscam futuras aposentadorias. Tenham certeza absoluta de que estamos aqui hoje, a bancada do PSDB, a quem faço um agradecimento especial por, em todos os momentos, estar ao nosso lado e estamos aqui hoje ao lado do Presidente Rodrigo Maia, a quem faço um agradecimento especial e reitero: Sr. Presidente, V.Exa. vai entrar para a história deste País por ter impedido que esta reforma deixasse de acontecer, por ter impedido que o caos reinasse neste País. V.Exa. teve a coragem de conduzir um conjunto de Líderes que, antes de pensar em si mesmos, pensaram no futuro da nossa Nação. Venho aqui com a tranquilidade de olhar para os olhos dos meus filhos, para todos aqueles que aqui estão, para familiares e amigos e para população brasileira, para dizer: o PSDB se comprometeu em defender a população brasileira e, ao defender a reforma da Previdência, está cumprindo o seu compromisso com o País. Vamos defender o nosso País a qualquer custo! Eu prefiro ser mal interpretado hoje a permitir que futuros direitos dos brasileiros sejam aviltados. E todos aqueles que, com serenidade, com equilíbrio Š não com um sentimento de alegria, repito, porque ninguém está feliz a cortar direitos de quem quer que seja Š, esta é a sensação que nós temos: fazemos aquilo que é melhor para o País, aquilo que o Brasil espera deste Parlamento. E pela primeira vez digo com muito orgulho que sou Deputado Federal mudando a história deste País com a reforma da Previdência, ao lado de vinte outros Deputados do PSDB que estão tendo a coragem de dizer sim à reforma, sim ao futuro deste País, sim à dignidade dos aposentados, sim aos trabalhadores, que sabem que, se não fosse a reforma da Previdência, a partir de 2027 sequer aposentadorias seriam pagas neste País. Não vim aqui para defender interesses desta ou daquela corporação Š essas corporações não irão sucumbir, elas sabem se defender Š, ao contrário, eu venho aqui para defender a população brasileira. E defender a população brasileira é dizer sim à reforma da Previdência. Muito obrigado, Sr. Presidente. Muito obrigado. (Palmas.)",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Tem a palavra o Deputado Elmar Nascimento, Líder do DEM, para falar pela Liderança e para orientação da bancada.",10/07/2019,191
ELMAR NASCIMENTO,DEM,BA,"Sr. Presidente, Sras. e Srs. Deputados, se perguntarmos a qualquer um dos 513 Deputados e Deputadas que compõem esta Casa sobre a necessidade de se fazer uma reforma da Previdência, a resposta seria unânime: a reforma é urgente e necessária. Nós assistimos a um debate absolutamente democrático, com duas visões de mundo. E o nosso partido se encaixa numa visão de mundo de responsabilidade, de austeridade, de qualidade do gasto público. E mesmo quando éramos Oposição, sempre defendíamos as reformas. Esta é uma reforma que, em primeiro momento, vai significar estabelecer a curto prazo credibilidade junto ao mercado, credibilidade junto a investidores internacionais. Nós vivemos um instante em que existem no nosso País 14 milhões de brasileiros desempregados, que precisam da nossa atuação. O Congresso Nacional hoje, via Câmara dos Deputados, assume o protagonismo da história do nosso País, não deixando que, em hipótese alguma, o Brasil vá para a insolvência. O Governo fez a parte dele. O Governo, sob a sua ótica, enviou uma proposta de reforma da Previdência, que nós aperfeiçoamos aqui. Retiramos a aposentadoria do trabalhador rural, retiramos o BPC, retiramos a desconstitucionalização, retiramos a capitalização. E tiramos, com isso, ao mesmo tempo, todo o discurso da Oposição. Ser oposição não é ser absolutamente contra tudo e apostar no quanto pior, melhor. Ser oposição é ter a oportunidade de, quando se enfrentar um tema, oferecer alternativas. E eu lhes pergunto: ao longo desses 5 meses de discussão na Comissão Especial, depois aqui no Plenário Š e até no ano passado, quando a reforma foi debatida Š, qual foi a alternativa que a Oposição apresentou para o desastre iminente que nós estávamos prestes a assistir? Daqui a 10 anos, 12 anos, 15 anos, a insolvência vai estar batendo à porta dos brasileiros. E quem é que precisa de aposentadoria? Não é o rico. O rico compra gado, o rico compra terra, o rico investe em títulos de capitalização e se protege. Ele não precisa de aposentadoria. Quem precisa ter assegurada a Previdência, o acesso à aposentadoria e a proteção do Estado é exatamente a população mais pobre. E é em homenagem à população mais pobre do Brasil que hoje o nosso partido vai votar. Foi assim que nos conduzimos na Comissão de Constituição e Justiça e na Comissão Especial, oferecendo alternativas, fazendo com que a reforma não tratasse de forma igual os desiguais. Excluímos, para que não fossem atingidos, os mais pobres. Cada um vai ter que dar a sua parcela de contribuição. Há algumas profissões que precisam de um tratamento especial. Também aí nós fomos sensíveis. Tivemos a capacidade de construir um texto de um destaque, que foi apresentado pelo PSL e pelo Podemos, que vai atender aos policiais, que saem às ruas todos os dias, sem saber se vão voltar, para enfrentar o crime organizado. Tivemos a condição e a sensibilidade de conversar com as mulheres, de entender o débito histórico que este País tem com as mulheres, para estabelecer condições diferentes. E hoje chegamos aqui a um ponto final, já sinalizado ontem pelas votações reiteradas de encerramento de discussão e pelas votações anteriores: a Câmara dos Deputados escolheu ficar ao lado do Brasil. E hoje nós teremos, num tema que é muito difícil, que não trata do corte de privilégio, que trata de ajuste fiscal, uma votação que mostrará de vez o compromisso que a Câmara dos Deputados tem com o futuro dos brasileiros e do Brasil. Nesse contexto, eu queria agradecer a minha bancada. Sem qualquer tipo de necessidade, ontem nós, os 30 Deputados e Deputadas que compõem a bancada do Democratas, por unanimidade, fechamos questão não para obrigar ninguém a votar, mas para mostrar publicamente o compromisso histórico do Democratas com o futuro do Brasil. O Democratas vota sim. O Democratas vota a favor da reforma, da nova Previdência. O Democratas vota com o Brasil e com os brasileiros. Muito obrigado, Sr. Presidente.",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Tem a palavra o Deputado Ivan Valente, para uma comunicação de Liderança pelo PSOL.",10/07/2019,191
IVAN VALENTE,PSOL,SP,"Sr. Presidente, Sras. e Srs. Deputados, eu quero agradecer aqui a toda a bancada do Partido Socialismo e Liberdade e dizer que aqui estão milhões de abaixo- assinados, que foram coletados nas ruas, contra a reforma da Previdência. São filas de gente contra a reforma da Previdência. (Palmas.) Primeiro, eu quero dizer a todos vocês que este Governo, eleito através de fake news, representa um grande retrocesso social. É o maior retrocesso contra os trabalhadores de todos os tempos. Na verdade, eu quero denunciar, neste momento, que esta votação está contaminada pela compra de votos: 40 milhões em emendas. Normalizaram o toma lá, dá cá. Isso se chamava corrupção há muito tempo aqui na Câmara dos Deputados. É corrupção! Uma só emenda transformou-se de 2 milhões em 547 milhões. Isso é ilegal! Sr. Presidente, na verdade, eu quero provar aqui, mais uma vez, que são os pobres, os excluídos, os miseráveis deste Brasil que vão pagar essa conta da Previdência, enquanto vão isentar 84 bilhões para ruralistas exportadores, que sempre lucram aqui! Vão tirar da professora, do idoso, do trabalhador e da trabalhadora brasileira, é isso que vai acontecer! E isso vai acontecer através, sim, do abono salarial, de onde vão tirar 100 bilhões! Vão contar 100% das contribuições ao longo da vida laboral, de onde vão cortar 20% dos benefícios da classe trabalhadora brasileira! Nós sabemos que a pensão por morte pode ser menor do que o salário mínimo! Quem vem a esta tribuna nunca pisou numa sala de aula para mandar uma professora, com dupla e tripla jornada de trabalho, ficar 60 horas semanais numa sala de aula! É falta de vergonha na cara isso, porque estão acostumados a dar dinheiro para os ruralistas. É isso que acontece! E mais: eu vi gente comemorando. Eu vi o impeachment  aqui, a alegria do impeachment, a vergonha alheia do impeachment ! Ratazanas riram à vontade! E agora há gente comemorando o sacrifício da classe trabalhadora brasileira. Nós, não! Nós estamos tristes! Se passar esta reforma, será mais miséria, mais exclusão, mais desemprego, destruição da Previdência pública, construída na Constituição de 1988, proteção social para os trabalhadores! Mas eles não tocam no mundo dos ricos. Aqui, há um tabu em relação à taxação sobre grandes heranças, fortunas, lucros e dividendos, que não será tocada na reforma da Previdência! Por isso, nós vamos votar não a esta reforma, que é contra o povo brasileiro. E eu quero passar, para o encaminhamento, a palavra para a Deputada Luiza Erundina, mulher nordestina, que vai dizer a orientação do PSOL. Viva o povo brasileiro! Viva a luta do povo brasileiro! Não à reforma da Previdência! (Palmas.)",10/07/2019,191
LUIZA ERUNDINA,PSOL,SP,"Companheiras e companheiros, não vamos nos esquecer de que chegamos a esta Casa pelas mãos do povo, pelo voto popular, o que significa que temos a responsabilidade de representá-los dignamente, defendendo seus interesses, lutando por seus direitos. Não fazer isso significa traição, e a história trata de forma implacável os traidores do povo! (Palmas.) Nós temos que lutar. E mais: aquilo que se faz contra o povo não fica impune, haja vista que 159 Deputados... (Desligamento automático do microfone.)",10/07/2019,191
Rodrigo Maia,DEM,RJ,Com a palavra o Deputado Arthur Lira.,10/07/2019,191
LUIZA ERUNDINA,PSOL,SP,...60% votaram...,10/07/2019,191
Rodrigo Maia,DEM,RJ,"Já passou o tempo, Deputada. Era só 1 minuto.",10/07/2019,191
LUIZA ERUNDINA,PSOL,SP,"...a favor da reforma trabalhista, votaram a favor da PEC da Morte, votaram a favor da terceirização irrestrita e ampla, e, por isso, foram punidos com a não reeleição. Inclusive o Secretário Rogério Marinho não foi reeleito. Ele é o pai da reforma trabalhista. Ele é o pai da reforma da Previdência. É dessa forma que a história trata os traidores do povo. (Palmas.)",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Obrigado. Com a palavra o Deputado Arthur Lira, pela Liderança do Bloco PP/MDB/PTB.",10/07/2019,191
ARTHUR LIRA,Bloco/PP,AL,"Sr. Presidente, Srs. Deputados, Sras. Deputadas, hoje nós chegamos ao início da votação do primeiro turno da reforma da Previdência. Queria aqui fazer, Sr. Presidente, Sras. e Srs. Deputados, algumas ponderações do que ocorreu nesse caminho. Eu não poderia deixar de dizer que o nosso partido, o Progressista, composto de Deputados e Deputadas de todas as regiões do Brasil, junto com mais 13 partidos, no início das discussões da Previdência, teve o posicionamento claro, transparente, de defender um tema que é árduo, que é espinhoso e sobre o qual ninguém gosta de se posicionar. Eu vou entrar no mérito do posicionamento daqui a alguns instantes. Fizemos a defesa inconteste de retirar desse texto, que não devia inclusive ter nele entrado, os rurais, os trabalhadores do campo, o BPC, a questão da desconstitucionalização, a capitalização, que não foi explicada no Plenário desta Casa até hoje. E, graças ao movimento originado por esses partidos, esses assuntos saíram do texto da reforma da Previdência. É de se reconhecer, no meu Nordeste, na minha Alagoas, que esse tema é extremamente árido e desfavorável. Se estamos fazendo encaminhamento, na tarde e noite de hoje, é com a responsabilidade que o partido tem que ter com todos os brasileiros, com o Brasil, com o desenvolvimento e com a tentativa de saída de uma depressão, de uma crise econômica que se percebe perene no País. E resta aqui saber, se o Congresso Nacional votar e aprovar a reforma da Previdência, como é o que parece, qual vai ser a resposta do empresariado. Quem ganhou até hoje com a reforma da Previdência só foi o mercado imobiliário, o mercado financeiro, a Bolsa de Valores e aqueles que especulam. É importante que isso seja dito para que, a partir de amanhã, quando essa reforma for aprovada em primeiro turno Š eu não tenho dúvidas de que vai ser Š, os empresários, os investidores, as agências de pesquisa, o mercado internacional venham para o Brasil, porque, se não vierem, a ressaca vai ser muito grande. É isso que me preocupa. É isso que preocupa o meu partido. Vários destaques são propostos, e até agora nós não propusemos nenhum para desidratar a Previdência tão falada. Os números que o Governo quis este Congresso entregou, graças à determinação do Presidente Rodrigo, dos Líderes e dos Deputados e Deputadas que compõem o Plenário desta Casa. Os que concordam com o tema respeitam sempre a posição altiva e firme da Oposição, que defende com unhas e dentes o posicionamento daqueles que não têm voz e não tem vez nesta Casa. Dito isso, Sr. Presidente, quero dizer que o Partido Progressista, a unanimidade dele, se não a unanimidade, mas a quase totalidade dele, decidiu votar a favor da reforma da Previdência neste primeiro turno. Vamos discutir os destaques e levar em consideração o que vem no texto, para melhorar ou piorar a vida do brasileiro, com independência e altivez. Queremos dizer também que tudo o que foi discutido aqui, durante a Comissão Especial e as audiências públicas na CCJ, foi feito com absoluto respeito, obedecendo às regras regimentais e aos acordos firmados, trazendo para este plenário um texto capaz de ser votado. Ninguém jamais esperaria isso de um Governo que tem dificuldades de articulação, de uma Casa que paga um preço sem dever. Se o Brasil, Deputado Luiz Lima, conhecesse o que esta Casa produz, como ela trabalha e se dedica para melhorar a legislação do Brasil, teríamos, sim, um melhor nível de avaliação. Alguns dos nossos tendem a fazer com que ela caia de nível, denegrindo a imagem deste Poder. Quando nós vemos esta ou aquela citação em rede criticando Deputados que zelam pela Constituição do nosso País, batendo em Deputados que zelam pela Constituição do nosso País, é deprimente e degradante. Mesmo assim, nós estamos votando, porque o Brasil é maior do que qualquer rede social, o Brasil é maior do que qualquer Twitter, o Brasil é maior do que qualquer Facebook, o Brasil é maior do que qualquer Instagram. Minha solidariedade àqueles que, acima de tudo e de todos, prezam pelos preceitos legais, constitucionais e morais. Quem não tem coragem de exercer o mandato de Deputado na sua plenitude não deveria estar aqui. Muito embora nós tenhamos algumas posições divergentes, Deputado Rodrigo Maia, na tarde de hoje, quero reconhecer a sua luta, enquanto Presidente desta Casa, a sua batalha, a sua persistência, a sua determinação e a sua obstinação por esse tema. Agora, ninguém faz isso só. Nós temos que reconhecer a sua determinação, mas todos os Líderes o acompanharam, todos os Deputados desses partidos lhe deram crédito. Eu espero que o Congresso possa ser responsável pelo que pode acontecer de bom para o Brasil depois da aprovação desta reforma. Nós vamos ver como as manchetes dos jornais vão nos tratar depois da aprovação desta reforma. Nós esperamos que o mercado financeiro, que tanto lucrou com notícias boas e com notícias ruins, faça o mesmo esforço para trazer para o Brasil dinheiro, investimento e recursos para gerar emprego e renda para o povo brasileiro. A única coisa que esta reforma da Previdência vai trazer de boa é uma economia a longo prazo Š uma economia a longo prazo. Isso não vai trazer nenhuma mudança na economia, mas é necessário estancar a sangria. Nós vamos estancar essa sangria, esperando o retorno de quem tanto critica esta Casa, de quem tanto bate no Congresso Nacional. Deputados da Oposição, Deputados do Governo, Deputados do centro, o Partido Progressista vai votar sim no primeiro turno da reforma da Previdência. (Palmas.)",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Tem a palavra o Deputado Fred Costa, pela Liderança do Patriota.",10/07/2019,191
FRED COSTA,PATRIOTA,MG,"Gostaria de iniciar minha fala dirigindo- me de forma especial ao Presidente da Casa, o Deputado Rodrigo Maia, que muitas vezes, de forma injusta, foi vilipendiado ao longo desse processo, inclusive por aqueles que são favoráveis à necessária reforma da Previdência. Mas, graças à sua galhardia, liderança e compromisso com a causa pública, nós chegamos a este momento em que vamos votar Š e muito provavelmente aprovar Š a reforma da Previdência. Quero saudar de forma fraternal e especial a bancada do Patriota, que eu tenho o prazer de liderar, representada aqui pelo Deputado Pastor Eurico, pelo Deputado Marreca Filho, pelo Deputado Dr. Frederico e pelo Deputado Alcides Rodrigues. Se hoje está ruim Š isso é fato, o nosso País vive a sua maior crise Š, pode ficar muito pior se não aprovarmos a reforma da Previdência! Ao longo desses meses da atual legislatura, vimos aqui vários Deputados fazerem uso da palavra, parecendo verdadeiras trombetas do Apocalipse, mas muitos desejando o quanto pior, melhor! E eu quero afirmar que os Deputados que compõem nossa bancada, com todo o respeito aos demais partidos Š nós não somos do PT, não somos do PSOL, não somos do PSL, nós somos do Patriota Š, têm compromisso não com o Governo ou com a Oposição, mas com aquilo que entendemos ser melhor para o Brasil. Hoje, nós estamos na iminência de votar um antídoto necessário. Antídoto serve para veneno, e lamentavelmente nós vamos ter que nos utilizar desse, que é um sacrifício para todos, para garantirmos um Brasil melhor para as próximas gerações, para assegurarmos que as próximas gerações possam ter garantido o seu direito de previdência. Tudo isso é proveniente de uma herança maldita herdada por sucessivos Governos irresponsáveis, que se preocuparam não com as próximas gerações, mas com as suas reeleições. Hoje é muito fácil vir aqui e ser contrário à reforma da Previdência. O difícil é ter a coragem de, muito embora saibamos que este assunto divide o País... (Desligamento automático do microfone.)",10/07/2019,191
FRED COSTA,PATRIOTA,MG,"Sr. Presidente, vou concluir. O déficit em 2017 foi de 268 bilhões, o déficit em 2018 foi de 298 bilhões. Se continuarmos dessa forma, inevitavelmente teremos menos investimento, menos qualidade de serviço. Quero lembrar que, segundo o Ministério da Fazenda, 20% dos mais ricos recebem 40% dos gastos da Previdência. Isso é justo? Uns se aposentam com 40 anos, e milhares morrem na fila do SUS. Portanto, nós, do Patriota, vamos votar sim, por compromisso com o Brasil, sabendo que essa é apenas uma das reformas que se fazem necessárias, além de outras atitudes que o Governo Federal tem a obrigação de tomar, para que possamos voltar a trilhar o caminho do desenvolvimento.",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Concedo a palavra ao Deputado Daniel Almeida, que falará pela Liderança do PCdoB.",10/07/2019,191
