autor,partido,uf,discurso,data
DIEGO GARCIA,PODE,PR,Só as substituições.,12/07/2019
SAMUEL MOREIRA,PSDB,SP,"Tudo bem?  (Pausa.) Então vamos lá. (Não identificado)  - Nem precisa ler as substituições também, se V.Exa. quiser.",12/07/2019
SAMUEL MOREIRA,PSDB,SP,"Na página 5, art. 40, § 1º:  O servidor abrangido por regime próprio de previdência social será aposentado: (...) . Esse é o termo. Depois, no inciso III,...",12/07/2019
HENRIQUE FONTANA,PT,RS,"Quero fazer uma questão de ordem, Sr. Presidente.",12/07/2019
MARCELO RAMOS,PL,AM,"Pois não, Deputado Henrique.  (Pausa.) Deputado Samuel, deixe-me propor algo a V.Exa. Eu vi que o Deputado Henrique estava aqui atrás, mas sei que não há acordo para ler só as alterações. Então, vamos ler o relatório todo. Não há problema.",12/07/2019
HENRIQUE FONTANA,PT,RS,Eu quero voltar para a tentativa de acordo com V.Exa.  (Manifestação no plenário.),12/07/2019
MARCELO RAMOS,PL,AM,"Não. Vamos ler tudo, vamos ler tudo. Enquanto ele lê, nós tentamos construir um acordo aqui. Vamos ler. (Intervenções simultâneas ininteligíveis.)",12/07/2019
DIEGO GARCIA,PODE,PR,Não há acordo. Vamos para a leitura do relatório.,12/07/2019
SAMUEL MOREIRA,PSDB,SP,"Passo à leitura: Proposta de redação para o segundo turno de discussão e votação da Proposta de Emenda à Constituição nº 6-F, de 2019 Modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências. Art. 1° A Constituição Federal passa a vigorar com as seguintes alterações: 'Art. 22. ............................................................................................................................................................................................ ......................................................................................................................................................................................................... XXI - normas gerais de organização, efetivos, material bélico, garantias, convocação, mobilização, inatividades e pensões das polícias militares e dos corpos de bombeiros militares; ................................................................................................................................................................................................... 'Art. 37. ............................................................................................................................................................................................. .......................................................................................................................................................................................................... Reunião de: 12/07/2019 § 13. O servidor público titular de cargo efetivo poderá ser readaptado para exercício de cargo cujas atribuições e responsabilidades sejam compatíveis com a limitação que tenha sofrido em sua capacidade física ou mental, enquanto permanecer nesta condição, desde que possua a habilitação e o nível de escolaridade exigidos para o cargo de destino, mantida a remuneração do cargo de origem. § 14. A aposentadoria concedida com a utilização de tempo de contribuição decorrente de cargo, emprego ou função pública, inclusive do Regime Geral de Previdência Social, acarretará o rompimento do vínculo que gerou o referido tempo de contribuição. § 15. É vedada a complementação de aposentadorias de servidores públicos e de pensões por morte a seus dependentes que não seja decorrente do disposto nos §§ 14 a 16 do art. 40 ou que não seja prevista em lei que extinga regime próprio de previdência social. (NR)' 'Art. 38. ............................................................................................................................................................................................. .......................................................................................................................................................................................................... V - na hipótese de ser segurado de regime próprio de previdência social, permanecerá filiado a este regime, no ente federativo de origem. (NR)' 'Art. 39. ............................................................................................................................................................................................. .......................................................................................................................................................................................................... § 9º É vedada a incorporação de vantagens de caráter temporário ou vinculadas ao exercício de função de confiança ou de cargo em comissão à remuneração do cargo efetivo. (NR)' 'Art. 40. O regime próprio de previdência social dos servidores titulares de cargos efetivos terá caráter contributivo e solidário, mediante contribuição do respectivo ente federativo, de servidores ativos, de aposentados e de pensionistas, observados critérios que preservem o equilíbrio financeiro e atuarial. § 1º O servidor abrangido por regime próprio de previdência social será aposentado: I - por incapacidade permanente para o trabalho, no cargo em que estiver investido, quando insuscetível de readaptação, hipótese em que será obrigatória a realização de avaliações periódicas para verificação da continuidade das condições que ensejaram a concessão da aposentadoria, na forma de lei do respectivo ente federativo; .......................................................................................................................................................................................................... III - no âmbito da União, aos sessenta e dois anos de idade, se mulher, e aos sessenta e cinco anos de idade, se homem, e, no âmbito dos Estados, do Distrito Federal e dos Municípios, na idade mínima estabelecida mediante emenda às respectivas Constituições e Leis Orgânicas, observados o tempo de contribuição e os demais requisitos estabelecidos em lei complementar do respectivo ente federativo. § 2º Os proventos de aposentadoria não poderão ser inferiores ao valor mínimo a que se refere o § 2º do art. 201 ou superiores ao limite máximo estabelecido para o Regime Geral de Previdência Social, observado o disposto nos §§ 14 a 16. § 3º As regras para cálculo de proventos de aposentadoria serão disciplinadas em lei do respectivo ente federativo. § 4º É vedada a adoção de requisitos ou critérios diferenciados para concessão de benefícios em regime próprio de previdência social, ressalvado o disposto nos §§ 4º-A, 4º-B, 4º-C e 5º. § 4º-A Poderão ser estabelecidos por lei complementar do respectivo ente federativo idade e tempo de contribuição diferenciados para aposentadoria de servidores com deficiência, previamente submetidos à avaliação biopsicossocial realizada por equipe multiprofissional e interdisciplinar. § 4º-B Poderão ser estabelecidos por lei complementar do respectivo ente federativo idade e tempo de contribuição diferenciados para aposentadoria de ocupantes do cargo de agente penitenciário, de agente socioeducativo ou de policial dos órgãos de que tratam o inciso IV do caput do art. 51, o inciso XIII do caput do art. 52 e os incisos I a IV do caput do art. 144. § 4º-C Poderão ser estabelecidos por lei complementar do respectivo ente federativo idade e tempo de contribuição diferenciados para aposentadoria de servidores cujas atividades sejam exercidas com efetiva exposição a agentes nocivos químicos, físicos e biológicos prejudiciais à saúde, ou associação Reunião de: 12/07/2019 destes agentes, vedados a caracterização por categoria profissional ou ocupação e o enquadramento por periculosidade. § 5º Os ocupantes do cargo de professor terão idade mínima reduzida em cinco anos em relação às idades decorrentes da aplicação do disposto no inciso III do § 1º, desde que comprovem tempo de efetivo exercício das funções de magistério na educação infantil e no ensino fundamental e médio fixado em lei complementar do respectivo ente federativo. § 6º Ressalvadas as aposentadorias decorrentes dos cargos acumuláveis na forma desta Constituição, é vedada a percepção de mais de uma aposentadoria à conta de regime próprio de previdência social, aplicando-se outras vedações, regras e condições para a acumulação de benefícios previdenciários estabelecidas no Regime Geral de Previdência Social. § 7º Observado o disposto no § 2º do art. 201 quando se tratar da única fonte de renda formal auferida pelo dependente, o benefício de pensão por morte será concedido nos termos de lei do respectivo ente federativo, a qual tratará de forma diferenciada a hipótese de morte dos servidores de que trata o § 4º-B decorrente de agressão sofrida no exercício ou em razão da função. .......................................................................................................................................................................................................... § 9º O tempo de contribuição federal, estadual, distrital ou municipal será contado para fins de aposentadoria, observado o disposto nos §§ 9º e 9º-A do art. 201, e o tempo de serviço correspondente será contado para fins de disponibilidade. ......................................................................................................................................................................................................... § 12. Além do disposto neste artigo, será observado, em regime próprio de previdência social, no que couber, os requisitos e critérios fixados para o Regime Geral de Previdência Social. § 13. Aplica-se ao agente público ocupante, exclusivamente, de cargo em comissão declarado em lei de livre nomeação e exoneração, de outro cargo temporário, inclusive aos detentores de mandato eletivo, ou de emprego público, o Regime Geral de Previdência Social. § 14. A União, os Estados, o Distrito Federal e os Municípios instituirão, por lei de iniciativa do respectivo Poder Executivo, regime de previdência complementar para servidores públicos ocupantes de cargo efetivo, observado o limite máximo dos benefícios do Regime Geral de Previdência Social para o valor das aposentadorias e das pensões em regime próprio de previdência social, ressalvado o disposto no § 16. § 15. O regime de previdência complementar de que trata o § 14 oferecerá plano de benefícios somente na modalidade contribuição definida, observará o disposto no art. 202 e será efetivado por intermédio de entidade fechada de previdência complementar ou de entidade aberta de previdência complementar. ......................................................................................................................................................................................................... § 18. Revogado § 19. Observados critérios a serem estabelecidos em lei do respectivo ente federativo, o servidor titular de cargo efetivo que tenha completado as exigências para a aposentadoria voluntária e que opte por permanecer em atividade poderá fazer jus a um abono de permanência equivalente, no máximo, ao valor da sua contribuição previdenciária, até completar a idade para aposentadoria compulsória. § 20. Fica vedada a existência de mais de um regime próprio de previdência social e de mais de um órgão ou entidade gestora deste regime em cada ente federativo, abrangidos todos os poderes, os órgãos e as entidades autárquicas e fundacionais, que serão responsáveis pelo seu financiamento, observados os critérios, os parâmetros e a natureza jurídica definidos na lei complementar de que trata o § 22. § 21 Revogado § 22. Vedada a instituição de novos regimes próprios de previdência social, lei complementar federal estabelecerá, para os que já existam'...",12/07/2019
MARCELO RAMOS,PL,AM,"Permita-me interrompê-lo, Relator. Tem a palavra o Deputado Silvio Costa Filho.",12/07/2019
SILVIO COSTA FILHO,PRB,PE,"Relator, eu o interrompo porque quero fazer um registro. Os Deputados Aguinaldo, Baleia, Pedro Paulo e eu, entre outros, tivemos oportunidade de conversar agora há pouco, com o intuito de tentar construir um consenso para avançarmos de forma construtiva. O Relator poderia encerrar a leitura Reunião de: 12/07/2019 da ata, tendo em vista que ela já é pública para todos nós, e nós poderíamos ouvir a Oposição e o Governo, de forma democrática, num debate de ideias. Tentamos construir esse acordo. O Líder Henrique Fontana, que tem cumprido papel fundamental para a Oposição brasileira, pôde consultar os demais Líderes da Oposição. Parece-me que há um consenso nessa direção. Da mesma forma, o Líder Major Vitor Hugo também teve a oportunidade de fazer a consulta e topou esse entendimento. Naturalmente, passa pelo crivo de V.Exa., Sr. Presidente. V.Exa. consultaria os Deputados Major Vitor Hugo e Henrique Fontana sobre esse entendimento, para que ele prosperasse de forma construtiva.",12/07/2019
MARCELO RAMOS,PL,AM,"Eu vou ouvir somente o Deputado Arnaldo Jardim e o Deputado Henrique Fontana. Se não, vamos gastar mais tempo para decidir se chegaremos ou não ao acordo.",12/07/2019
ARNALDO JARDIM,CIDADANIA,SP,"Sr. Presidente, eu quero saudar a tentativa de acordo. Eu sou daquelas pessoas que acreditam nisso, no acordo, que é parte integrante da política. Agora, um bom acordo é um acordo completo. Pelo que entendi do esforço do Deputado Silvio, do Deputado Aguinaldo, do Deputado Baleia, do Deputado Henrique, todos da Oposição Š menciono todos os que estavam ali; nós vimos todos ali tentando buscar isto Š, este acordo procedimental é para a próxima hora. Eu quero um acordo procedimental para a sessão, porque já foi anunciado pela Deputada Alice Portugal que há uma série de outros requerimentos de adiamento e tudo o mais. Eu queria que houvesse clareza. Sou a favor do acordo, acho que a política do debate é muito melhor do que a burocracia, o Regimento, mas que seja um acordo global que nos permita conduzir a sessão e concluí-la, Sr. Presidente. Eu queria ouvir todos os envolvidos sobre o encaminhamento como um todo.",12/07/2019
MARCELO RAMOS,PL,AM,Tem a palavra o Deputado Henrique Fontana.,12/07/2019
HENRIQUE FONTANA,PT,RS,"Sr. Presidente, primeiro quero saudar a todos pelo esforço. De fato, todos nós preferimos o debate a uma obstrução mais burocratizada. Então, nós estamos de acordo. Consultei todos os partidos de Oposição. A ideia é de que cada um dos inscritos que queira usar a palavra pela Oposição use 5 minutos e que seja concedido o tempo de Líder a Deputados da Oposição e da Minoria. Obviamente Š e digo isto de forma bem-humorada Š, faço um convite àqueles que apoiam o relatório para que também usem o seu tempo, para que o debate fique mais movimentado e democrático, Sr. Presidente.",12/07/2019
MARCELO RAMOS,PL,AM,"O.k. Então, nós encerramos a leitura do relatório pelo Deputado Samuel e passamos às inscrições para o debate da matéria, pelo tempo de 5 minutos, fora o tempo de Líderes, obviamente garantido. Pois não, Deputado Arnaldo.",12/07/2019
ARNALDO JARDIM,CIDADANIA,SP,"A última indagação: são 5 minutos para cada um? E qual é o prazo global, Sr. Presidente?",12/07/2019
MARCELO RAMOS,PL,AM,Uma hora e 10 minutos para cada lado.,12/07/2019
ARNALDO JARDIM,CIDADANIA,SP,Para cada lado?!,12/07/2019
MARCELO RAMOS,PL,AM,"Vai dar o tempo exato para todos falarem, vai dar o tempo exato para todos falarem. É menos tempo do que nós gastaríamos, Deputado Arnaldo. (Intervenções simultâneas ininteligíveis.)",12/07/2019
MARCELO RAMOS,PL,AM,"Eu não vou mais permitir discussão. Para que todos entendam, nós vamos agora abrir espaço para o debate, para a discussão. Cada orador terá 5 minutos. O tempo de Líder está garantido. Depois, no processo de votação, teremos os encaminhamentos, que são dois de 5 minutos para cada lado, e a orientação de bancadas. Antes da chamada dos nomes constantes da lista de inscrições, vamos ouvir o primeiro Líder, o Deputado Paulo Ramos, pelo tempo regimental do PDT. Eu pergunto a V.Exa. se já quer acumular o tempo de inscrição, de 5 minutos.  (Pausa.) O.k. Então, pelo tempo de Líder do PDT, tem V.Exa. a palavra por 5 minutos. Reunião de: 12/07/2019",12/07/2019
PAULO RAMOS,PDT,RJ,"Sr. Presidente, há aqueles que não viveram o período da ditadura; há aqueles que viveram naquele período e aderiram à ditadura; e há aqueles que resistiram e lutaram contra a ditadura Š eu conheço vários. É preciso que se reconheça que estamos aqui hoje em homenagem àqueles que lutaram contra a ditadura, que são responsáveis pela conquista do Estado Democrático de Direito. Há aqueles que, além de terem aderido à ditadura, praticaram atos em nome da ditadura. Há aqueles que nunca foram desrespeitados e não conseguem avaliar o sentimento ou as reações de quem é desrespeitado. Quem está do lado do cabo do chicote por vezes assume exclusivamente o direito de ser educado. Ser educado, no caso, é uma característica de quem detém o poder e não aceita contestação. Portanto, desrespeita, provoca e se comporta assim, educadamente. Tudo isso não é novidade, já é algo conhecido. O Relator estava lendo o relatório com as modificações que foram feitas no plenário, depois de muitos debates. A própria leitura demonstra a complexidade e a impossibilidade da compreensão, por não termos recebido com antecedência o texto. É claro que nós sabemos que esta reunião da Comissão Especial, sem a observância do Regimento, tem um propósito: esgotar esta etapa de apreciação. Não é uma reunião sobre a reforma da Previdência. Aliás, o nosso Presidente, o educado Deputado Marcelo Ramos, no plenário inúmeras vezes não falou em Nova Previdência, não falou em reforma da Previdência, falou em ajuste fiscal. S.Exa. se referiu sempre a ajuste fiscal. Trata- se disto mesmo, de ajuste fiscal cujas consequências recaem sobre os mais desvalidos. Hoje, neste momento, há uma tarefa: concluir esta etapa, atropelando dispositivo regimental, seja qual for. É preciso concluir esta etapa hoje, porque, na próxima semana, há aqueles que não se dispõem a estar aqui. Portanto, para manter o quórum, para satisfazer a agenda de uma parcela, é preciso encerrar tudo hoje. Tudo hoje! Então, não há saída, não há saída para aqueles que, responsavelmente, gostariam de ler o resultado dos trabalhos, depois da apreciação no plenário. Isso não vai ser possível. Estamos aqui... (Desligamento automático do microfone.)",12/07/2019
MARCELO RAMOS,PL,AM,"Terminou o tempo, Deputado Paulo.",12/07/2019
PAULO RAMOS,PDT,RJ,Estamos aqui submetidos a um rolo compressor.,12/07/2019
MARCELO RAMOS,PL,AM,"O.k., Deputado Paulo. Tem a palavra o Deputado Jorge Solla.",12/07/2019
PAULO RAMOS,PDT,RJ,"Quero concluir, Sr. Presidente, em 20 segundos.  (Manifestação no plenário.)",12/07/2019
MARCELO RAMOS,PL,AM,"Calma! Eu vou ser rígido quanto ao tempo, mas vou deixar o Deputado Paulo concluir a sua manifestação. Ele ainda tem um tempo de fala, mas os 30 segundos que ele vai gastar agora serão diminuídos do prazo da outra fala.  (Riso.)",12/07/2019
PAULO RAMOS,PDT,RJ,"Além do recurso à Presidência da Casa, vou analisar no final de semana a conveniência Š eu resisto sempre a isso Š de fazer um recurso ao Supremo Tribunal Federal para invalidar este absurdo atropelo na apreciação de matéria de tamanha responsabilidade.",12/07/2019
MARCELO RAMOS,PL,AM,"Obrigado, Deputado Paulo. O direito de acesso à Justiça é uma cláusula pétrea da nossa Constituição Federal. Eu tenho orgulho de dividir este momento com V.Exa., que ajudou a escrever a nossa Constituição, um instrumento tão importante para o País. Vamos passar à discussão. Ficam encerradas as inscrições. Por acordo, eu devolvo o requerimento de encerramento da discussão. Passo a palavra ao primeiro inscrito, o Deputado Jorge Solla.",12/07/2019
JORGE SOLLA,PT,BA,O Deputado Rubens não é o primeiro?,12/07/2019
MARCELO RAMOS,PL,AM,"Desculpem-me, é o Deputado Rubens Otoni o primeiro. Desculpe, Deputado Jorge. Houve um descuido meu. Eu passei tanto tempo sem dar a palavra a V.Exa. nas reuniões anteriores que agora estou querendo adiantar, não é?",12/07/2019
RUBENS OTONI,PT,GO,"Sr. Presidente, ilustre Relator, Sras. e Srs. Deputados, nós tivemos aqui a oportunidade de conviver ao longo desse debate, ao longo desses meses. Eu acompanhei toda essa discussão desde que esta matéria chegou à Casa, à Comissão de Constituição e Justiça. Reunião de: 12/07/2019 Desde o debate na CCJ, nós temos feito alertas sobre os equívocos do Governo na apresentação desta proposta. Já na Comissão de Constituição e Justiça, o Governo fazia questão de dizer que esta proposta precisava ser votada, e o argumento usado foi o de que ela era fundamental para se decidirem os rumos do País. Anunciaram a PEC como se fosse uma bala de prata, como se ela fosse o remédio para todos os males. Evidentemente, esse é um grande equívoco, pelo qual o Governo vai pagar um preço, porque vai votar a matéria, vai aprová-la, e não estarão resolvidos todos os problemas do País. Nesta Comissão o Governo insistia Š nós fazíamos alertas quanto ao equívoco Š em dizer que esta matéria seria fundamental para resolver os problemas da nossa economia e que a reforma da Previdência seria o passo para revigorar a nossa economia e, dessa maneira, colocar o nosso País nos trilhos. Nós fazíamos esses alertas por quê? Porque o próprio Ministro da Economia, em janeiro, anunciou que haveria crescimento de 3% do PIB, e, ao longo do tempo, de janeiro para cá, essa previsão foi revista 17 vezes, caiu para 2,7%, para 2,3%, para 1,8%, para 1,4%, e agora está em menos de 0,8%. E está assim não porque não foi votada a reforma da Previdência, mas sim porque o Ministério da Economia, que deveria apresentar planos concretos para poder ativar a nossa economia, projetos de desenvolvimento, projetos de investimento, nada fez e ficou batendo numa tecla só, a da reforma da Previdência. Isso é um absurdo. Deveria acontecer exatamente o contrário. Deveríamos ter uma proposta para a economia, o que geraria emprego, geraria renda, e a própria Previdência seria revitalizada e seria sustentada. Nesse debate nós também alertamos o Governo de que ele não poderia pensar nesta proposta como uma proposta apenas para se fazer ajuste fiscal, e estávamos de acordo em discutir uma proposta para garantir a sustentabilidade do sistema. Essa, sim, esse debate, sim! Nós sempre fomos a favor de debater a reforma da Previdência, para garantir que o direito que hoje a Constituição assegura ao beneficiário seja pago amanhã. Esse caminho nós poderíamos ter trilhado, para garantir a sustentabilidade do sistema, não a partir de retirada de direitos, não a partir de dificuldades de acesso à aposentadoria, não a partir de diminuição do valor do benefício, mas sim a partir da garantia dos recursos necessários ao sistema de seguridade social, criando-se normas rígidas para cobrar daqueles de quem deveríamos cobrar, para evitar a sonegação, para evitar as isenções desenfreadas dadas nesta Casa. Enfim, vários caminhos poderíamos trilhar. Mesmo assim, nós trabalhamos. Trabalhamos em todos os momentos para poder fazer avançar o texto apresentado e mostrar os equívocos que havia no texto. A propósito, quero salientar o papel do Relator, o Deputado Samuel Moreira, que sempre foi solícito, sempre esteve atento às audiências públicas e também acolheu no relatório aquilo que no seu campo era possível acolher. Mas nós achamos que é pouco. Por isso, nós, no plenário, fizemos o enfrentamento. E hoje, nesta Comissão, Sr. Presidente, queremos dizer que este relatório não atende às expectativas quanto àquilo que buscamos para uma proposta de previdência para o nosso País. Por isso, nós estamos aqui debatendo e manifestando a nossa posição contrária a este relatório.",12/07/2019
MARCELO RAMOS,PL,AM,"Obrigado, Deputado Rubens Otoni. Tem a palavra o Deputado Vinicius Poit.",12/07/2019
VINICIUS POIT,NOVO,SP,"Presidente, queria parabenizá-lo pelos trabalhos. Vamos em frente. Obrigado.  (Palmas.)",12/07/2019
MARCELO RAMOS,PL,AM,Tem a palavra o Deputado Jorge Solla.,12/07/2019
JORGE SOLLA,PT,BA,"Primeiro, é importante deixar bem claro, como o Deputado Paulo Ramos comentou, que essa não é uma reforma da Previdência, é um ajuste fiscal que visa reduzir as despesas do Governo Federal, com impacto grave na ampliação da desigualdade, retirando recurso da população mais pobre para caber no Orçamento, na parcela dos impostos que a Emenda Constitucional nº 95 permite que retorne para a população em termos de políticas públicas. Repito o que já comentei: o orçamento previdenciário é rebelde. Ele não aceita o corte feito através da elaboração anual, porque os direitos são alcançados e, para se cortar o orçamento previdenciário, é preciso cortar direitos da população. É isso o que V.Exas. estão fazendo. Não há nenhuma preocupação em melhorar as receitas para estabelecer o equilíbrio. Essa é mais uma grande mentira. A primeira mentira é aquela história de privilégio. Está mais do que comprovado que não há corte de privilégio algum. Os militares continuam privilegiados, e a população mais pobre é a mais prejudicada. A segunda é a do equilíbrio. A reforma não está sendo feita para equilibrar nada. Além de V.Exas. não terem proposto nada para haver melhora quanto Reunião de: 12/07/2019 ao equilíbrio da receita, o que nós vimos, na última hora da última reunião desta Comissão, foi que houve diminuição de 84 bilhões de reais da receita previdenciária, para atender aos lucros do setor agronegócio exportador. Então, vocês estão tirando dos mais pobres e estão dando isenções, mais uma vez, aos mais ricos deste País. Só vou lembrar algumas das maiores maldades do projeto. Estão cortando abono salarial, que não é matéria previdenciária. Estão cortando salário-família, algo que não é matéria previdenciária Š embutiram-no no projeto para fazer corte Š, o que mostra que se trata meramente de ajuste fiscal. Estão reduzindo a pensão de viúvas. Grande parte das viúvas vão ficar sem um salário mínimo. Estão atacando os direitos de viúvas e órfãos neste País. Criaram este mandamento:  Não se aposentará . E aqueles que conseguirem romper esse novo mandamento vão ter uma aposentadoria menor, cortada, porque V.Exas. estão mudando o cálculo, estão mudando o cálculo da aposentadoria, para prejudicar o trabalhador que menos ganha. Ele vai precisar de 15 anos de contribuição para ter o cálculo parcial e de 40 anos para ter o cálculo integral. Felizmente nós conseguimos derrotar a proposta que passava para 20 anos o tempo mínimo de contribuição previdenciária. É bom lembrar as diferenças que V.Exas. negociaram para professores e para policiais. Para policiais, reviram os critérios de aposentadoria; para os professores, reviram somente a transição. É bom que isso fique claro, porque houve apenas um ajuste quanto à transição. V.Exas. não mudaram o que podiam ter modificado, não permitiram que fossem alterados os critérios para os professores. Isso vale, da mesma forma, para o pedágio. Pedágio de 100% para servidores públicos e para o RGPS é um absurdo! Falam tanto V.Exas. em segurança jurídica, mas não aceitam que se renegocie nenhum contrato da elite deste País, não aceitam que se renegocie nenhum contrato dos empresários, não aceitam que se renegociem os lucros daqueles que mais ganham no setor de capitais neste País. No entanto, chegam para o trabalhador que está a 2 anos, 3 anos de se aposentar e dizem:  Esqueça a regra do jogo. Esqueça o contrato que você assinou há 30 anos, 40 anos. Você vai ter que trabalhar o dobro do que falta . Para o trabalhador, não existe esse negócio de segurança jurídica, não. Isso é só para patrão, para empresário, para milionário, para a elite. Felizmente o segundo turno vai acontecer em agosto. Esperamos que comece a cair a ficha da população brasileira, para que ela perceba quanto está perdendo, quanto do direito previdenciário está sendo destruído. Vamos ter novos embates no segundo semestre, porque a MP 881 é uma nova reforma trabalhista, representa mais destruição de direitos e novos ataques à CLT. Até as normas regulamentadoras de saúde e segurança do trabalho são alvo da nova reforma trabalhista, da MP 881. Não podemos retornar ao nível de miserabilidade que existia na época do Governo Fernando Henrique Cardoso, quando, a cada 5 minutos, Presidente, morria de fome uma criança neste País. Em 2001, no sétimo ano do Governo Fernando Henrique Cardoso, a situação de miséria da nossa população era tão grande que, a cada 5 minutos, morria de fome uma criança neste País. Não podemos permitir que isso retorne. Obrigado.",12/07/2019
MARCELO RAMOS,PL,AM,"Obrigado, Deputado Solla. Eu vou passar a palavra à Deputada Jandira, que vai falar pela Liderança. Peço, com antecedência, que todos falem dentro do tempo acordado, de 5 minutos. Eu vou cortar o som do microfone após os 5 minutos.",12/07/2019
CARLOS VERAS,PT,PE,Mas é preciso que haja respeito às falas...,12/07/2019
MARCELO RAMOS,PL,AM,"É claro. Se o orador for interrompido, eu resguardarei o tempo. Isso vale para todos. Deputada Jandira, V.Exa. dispõe de 7 minutos.",12/07/2019
JANDIRA FEGHALI,B,RJ,"Sr. Presidente, eu tenho muito orgulho do que nós fizemos durante todo esse período de debates e de enfrentamento da reforma da Previdência. A Liderança da Minoria é composta pelos partidos de oposição. Nós demonstramos aqui conhecimento da matéria, conhecimento dos dados, conhecimento da Constituição, conhecimento da Seguridade Social e muita proximidade com a realidade do povo. Eu ouvi aqui muita gente defender a reforma da Previdência repetindo frases feitas, repetindo mantras, repetindo o que estava escrito em papéis, repetindo discursos que não são verdadeiros sobre a economia do Brasil, sobre as mágicas soluções pautadas na reforma da Previdência, como se, de fato, o atual modelo da Seguridade Social fosse insustentável, como se ele fosse a causa dos problemas brasileiros e como se esta reforma desse solução aos problemas do Brasil. Quem conhece de fato a Seguridade Social, a macroeconomia, a economia brasileira jamais pode repetir ou afirmar uma coisa Reunião de: 12/07/2019 como essa, porque sabe que este modelo é absolutamente sustentável. Se não fosse, não recairia sobre ele, sobre seus recursos, a Desvinculação de Receitas da União durante todos esses anos. Recaiu porque ele era, de fato, superavitário. Eu diria mais, diria que a aprovação, em primeiro turno, deste texto matriz da reforma da Previdência foi uma grande perda para a sociedade e para o País, porque ele feriu algo construído com muita luta no processo de redemocratização do Brasil. Foi um processo que demandou muita construção, muito diálogo, muito conhecimento para garantir universalidade de políticas públicas na área de saúde, para garantir universalidade no campo da assistência, para incluir os trabalhadores rurais e garantir um princípio fundamental, o princípio da dignidade humana, para que ninguém ganhasse benefício inferior a um salário mínimo. Isso se rompeu nesta reforma da Previdência. Quebrou-se o princípio do orçamento único. Quebrou-se o princípio da dignidade humana. Quebrou-se o princípio da solidariedade, da integralidade desse orçamento. E mais, fez-se uma economia sobre os que ganham menos. É mentira que se combateram privilégios! É mentira! A própria possibilidade de manter a anistia das dívidas, como se fez aqui para os grandes empresários rurais, quebrou a coerência do discurso. Isso foi feito aqui no último dia nesta Comissão. Não adianta, podem falar o que quiserem, basta olhar o que se fez com a pensão por morte, basta olhar o que se fez com o abono salarial, o que se fez com o cálculo do benefício, o que se fez com a desconstitucionalização inclusive da área do serviço público. Eu não estou aqui falando de marajá, não! Estou falando da grande massa de servidores públicos que nem de longe chegam perto do teto salarial constitucional. Nem de perto! Estou falando aqui dessa grande massa que não é de servidores do Governo, é de servidores do povo. Entra e sai governo, e os servidores estão aí. Já foram atingidos por três reformas, e já contribuem sobre o teto, e já têm que pagar um fundo de pensão complementar, considerando que esta reforma permite a privatização. Nós estamos falando aqui de uma reforma cujos benefícios não programados, como no caso de proteção à maternidade, acidente de trabalho e invalidez, podem ser privatizados. Nós estamos falando aqui de um fundo de pensão complementar do serviço público que pode ser privatizado. Nós estamos falando aqui de um trabalhador rural que não ficou completamente protegido, quando se permite que a contribuição mínima por segurado pode voltar, por lei, a ser de 600 reais por mês. Estamos falando aqui da maioria das mulheres pobres, que, por causa de uma chamada renda formal, cujo conceito nem existe no Brasil, como do bolsa-família, podem receber, no caso de pensão por morte, menos de um salário mínimo. Esta reforma prejudicou os trabalhadores e as trabalhadoras, particularmente as mulheres, sobretudo as mulheres negras. Esta reforma sofreu, sim, uma grande derrota por grande obra da Oposição e da sociedade, que foi para a rua, as centrais sindicais, o movimento organizado, o movimento da educação, fortíssimo, que os defensores da reforma não conseguiram confrontar. Foi modificada a transição no caso dos professores porque este movimento teve força, o movimento estudantil, o movimento da educação. É bom dizer que foi derrotado o núcleo da reforma, a capitalização, que era o grande benefício aos bancos. O Sr. Paulo Guedes disse que ia embora, a depender do que fosse ou não aprovado. Devia ter ido mesmo, devia ter cumprido a sua palavra. Ele não conseguiu sequer trazer os números do que seria a capitalização. Repito aqui: é um economista medíocre. Aliás, é assim que o chamam no mundo da economia. Não conseguiu nem dizer à sua própria base qual era o custo dessa transição. Nem a própria base conseguiu manter isso. Essa derrota eles sofreram. O Governo não teve como dizer que não sofreu uma derrota. O Sr. Paulo Guedes não conseguiu manter a reforma cuja autoria seria dele. Mesmo com todos os prejuízos que o Governo teve, com as vitórias que a Oposição teve, que foram parciais em muitos itens Š o BPC não ficou abaixo do salário mínimo, há o caso dos professores, o da exclusão previdenciária, não se conseguiu descapitalizar o BNDES, houve uma série de vitórias relacionadas aos rurais Š, ainda assim, o prejuízo permaneceu para a população pobre! Nós vamos, no segundo turno, insistir nos nossos destaques supressivos para proteger o povo brasileiro. Muito obrigada, Presidente.",12/07/2019
MARCELO RAMOS,PL,AM,"Obrigado, Deputada Jandira. Tem a palavra o Deputado Paulo Ganime.",12/07/2019
PAULO GANIME,NOVO,RJ,"Presidente, parabéns pelo trabalho! Vamos em frente! Obrigado.  (Palmas.)",12/07/2019
MARCELO RAMOS,PL,AM,"Tem a palavra, pela Liderança do PSB, o Deputado Bira do Pindaré, que dispõe do tempo regimental de 5 minutos. Reunião de: 12/07/2019",12/07/2019
