autor,partido,uf,discurso,data
MARCELO RAMOS,PL,AM,"Como vota o PT, Deputado?",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"...pela iniciativa privada e pelos fundos de pensão. Vejam que absurdo! Por isso, Sr. Presidente, nós queremos mais tempo para...",04/07/2019
MARCELO RAMOS,PL,AM,"Como vota a Minoria, Deputado?",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"A Minoria vota sim, Sr. Presidente.",04/07/2019
MARCELO RAMOS,PL,AM,"A Minoria vota sim. Como vota a Oposição, Deputado Aliel Machado?  (Pausa.) Desculpe-me, Deputado Jorge Solla, pois é a segunda vez que eu não passo a palavra a V.Exa., mas é porque o Líder da Oposição me disse que quem falaria seria o Deputado Aliel Machado. Eu prometo que na próxima eu vou direto a V.Exa.",04/07/2019
ALIEL MACHADO,PSB,PR,"Sr. Presidente, minha cidade, Ponta Grossa, tem centenas de guardas municipais e, lá, eles são regidos pelo Regime Geral de Previdência Social. Nós estamos falando aqui que vamos resolver o problema desses profissionais, que representam a segurança pública. Ontem eu recebi o depoimento de um policial, que me disse ter ido pessoalmente ao aeroporto de Curitiba buscar o então candidato Bolsonaro, porque ele representava a segurança pública. Hoje, ele estava aos prantos, porque sabe que a categoria dele está sendo prejudicada. Ele disse ainda que todos foram traídos. Agora eu quero saber: e os agentes comunitários de saúde, visto que a minha cidade tem quase 9 mil funcionários e todos são filiados ao Regime Geral de Previdência? E as enfermeiras? E as zeladoras das escolas municipais? E as secretárias? Reunião de: 04/07/2019 Essa reforma tira direito das pessoas mais simples. A página 66 mostra que 92% da economia será sobre as pessoas mais simples. Por isso, nós votamos sim à retirada de pauta dessa proposta maldosa.",04/07/2019
MARCELO RAMOS,PL,AM,"Obrigado, Deputado Aliel. Eu só quero fazer um registro, por uma questão de justiça, em relação à ponderação do Deputado Carlos Veras. O destaque que foi prejudicado era o que fazia a indicação de regime próprio dos guardas municipais, mas ainda há um destaque em que os guardas municipais, vinculados ao regime geral, serão incluídos. Esse destaque será analisado no momento correto. Então, é cabível o esclarecimento ao Deputado Carlos Veras. Como vota o Governo?",04/07/2019
MAJOR VITOR HUGO,PSL,GO,"Vota não, Sr. Presidente.",04/07/2019
MARCELO RAMOS,PL,AM,"O Governo orienta não. Vamos passar agora para a votação pelo painel eletrônico. A Presidência solicita aos Srs. Deputados que tomem os seus lugares, a fim de ter início a votação pelo sistema eletrônico. Está iniciada a votação. (Procede-se à votação.)",04/07/2019
JOSÉ GUIMARÃES,PT,CE,Quero alertar os Deputados da Oposição para só votarem quando a base do Governo atingir o número.,04/07/2019
MARCELO RAMOS,PL,AM,"Declaro encerrada a votação. Peço que se publique o resultado. (Procede-se à apuração.) Resultado da votação: não, 36; sim, 13. O requerimento está rejeitado. Declaro prejudicado o requerimento da Deputada Alice Portugal, de igual teor. Passamos à votação do parecer do Relator, Deputado Samuel Moreira. Reafirmo que o prazo para a apresentação de destaques encerrou-se às 10 horas da manhã. Resumo dos destaques: foram apresentados 142 destaques; foram retirados 20 destaques; restam 23 destaques de bancada e 99 destaques individuais. Aproveito para informar que, nos termos regimentais, o prazo para a retirada dos destaques Š e peço a todos que prestem atenção Š é o seguinte: se for destaque para votação em separado, até o início da votação do parecer, que se dará depois dos encaminhamentos; para os demais destaques, até o início da votação do destaque. Então, destaque para votação em separado só pode ser retirado até o início da votação do parecer. Para encaminhar a votação do parecer do Relator, concedo a palavra à Deputada Alice Portugal, pelo tempo de 5 minutos.",04/07/2019
ALICE PORTUGAL,B,BA,"Sr. Presidente, Srs. Deputados, Sras. Deputadas, chegamos ao momento crucial em que vamos apreciar um relatório que foi, em 24 horas, modificado três vezes. Esse relatório manteve as iniquidades, os vícios, os equívocos da PEC 6, ingressa nesta Câmara dos Deputados em fevereiro deste ano, em promessa descumprida do atual Presidente da República. O relatório é absolutamente fiel àqueles objetivos de entregar ao mercado financeiro a Previdência Social, que é pública, que é um pacto entre gerações no Brasil, para, quando a capacidade de trabalho da pessoa estiver finita, receber por aquilo que as novas gerações e você próprio honraram com as contribuições para o Regime Geral ou para o Regime Próprio de Previdência Social dos servidores públicos. Esse é o relatório do Governo Bolsonaro, o relatório que foi imposto aos Srs. Líderes, na troca comezinha por emendas que, na verdade, existem para servir aos Municípios, aos Estados e às necessidades objetivas da população brasileira. É o relatório de um governo que foi eleito com base em  fake news , com base no controle de dados. Após a derrubada de um governo legítimo, de um governo eleito, os derrotados das últimas quatro eleições juntaram-se a uma mídia golpista e ao sistema financeiro, porque esperavam que o PSDB ganhasse as eleições. Mas produziram um monstro, um monstro incontrolável, que agora os engole, Deputados e Deputadas; o monstro incontrolável da extrema-direita, que vem para Reunião de: 04/07/2019 cima do povo, tirando os seus direitos e impondo um discurso fascista na política, atrasado e ultraliberal na economia e conservador nos costumes. É isso que é o Governo Bolsonaro, que aparece na capa da  Folha de S.Paulo  vestido de astronauta e quer nos mandar para outros países. Pois eu desejo que ele vá para a Lua, porque ele vendeu terreno na Lua aos policiais, aos professores; ele vendeu terreno na Lua aos Deputados do PSL, que estão desconfortáveis, arrependidos, e votando apenas porque disseram ao eleitorado que iriam votar com o Governo. É um Governo que se demonstra perverso, um Governo contra professor, um Governo que não gosta das mulheres. O Governo Bolsonaro não gosta de mulher, porque prejudica as professoras, prejudica as trabalhadoras rurais. É dito, neste relatório, 87 vezes, que nós teremos leis ordinárias para regular elementos da matéria. Aí eu quero ir direto à matéria. O relatório realiza uma intensa desconstitucionalização, pois 87 vezes nos remete a leis ordinárias. O abono salarial poderá ser menor do que 1 salário mínimo. Cai o conceito do acesso a 2 salários mínimos para os de baixa renda, o que é uma vergonha. O trabalhador rural, que já foi prejudicado com a MP 871, é profundamente prejudicado. Não é verdade que eles foram retirados da PEC. Eles voltam em lei ordinária, assim como o BPC. Neste relatório, eles estão mais uma vez presentes. Para professores, infelizmente, a regra especial de aposentadoria cai. Pessoas com deficiência e benefícios não programados vão para a possibilidade da privatização. Por isso, esse relatório, infelizmente, está em completa harmonia com o texto original da PEC. Dessa forma, conclamo os Deputados: rebelem-se contra essa PEC. Os que defendem professores, policiais, guardas municipais, assim como os que defendem os direitos das mulheres, votem contra o relatório, porque esse parecer é inconstitucional, mantém iniquidades e joga para o mercado financeiro a grande responsabilidade de regular a aposentadoria de milhões de brasileiros... (Desligamento automático do microfone.)",04/07/2019
MARCELO RAMOS,PRB,PE,"Conclua, Deputada.",04/07/2019
ALICE PORTUGAL,B,BA,"Concluo. Esse parecer joga para o setor privado a responsabilidade de gerenciar a aposentadoria de milhões de brasileiros que terão dificuldades de acessar esse direito, que é um direito humano e garantido na Constituição. Somos contra o parecer. Dizemos não a esse parecer... (Desligamento automático do microfone.)",04/07/2019
MARCELO RAMOS,PRB,PE,"Para encaminhar a favor, em substituição ao Deputado Beto Pereira, tem a palavra o Deputado Rodrigo de Castro. V.Exa. dispõe de 5 minutos.",04/07/2019
RODRIGO DE CASTRO,PSDB,MG,"Sr. Presidente, Sras. e Srs. Parlamentares, nós estamos chegando perto de um momento realmente da maior importância para esta Comissão, para a Câmara dos Deputados, para o Brasil. Quero lembrar, Sr. Presidente, o trabalho feito em prol de uma nova Previdência e, principalmente, de justiça entre os brasileiros. Nós temos hoje um sistema previdenciário altamente injusto, perverso e ainda deficitário, que está sacrificando as gerações futuras, que está estrangulado os investimentos no País, já que gastamos muito mais com previdência, por exemplo, do que com educação e saúde. Por isso, chegou a hora de encararmos esse grande desafio. É claro que isso nunca é fácil. Mexer na Previdência é mexer na vida de milhões de brasileiros. E nós temos muito orgulho do trabalho feito pelo meu partido, o PSDB, e, nesse ponto, pelo Deputado Rogério Marinho, que foi Deputado Federal e já tinha feito um grande trabalho na reforma trabalhista; agora está no Ministério da Economia, coordenando toda a área da Previdência, e apresentou um projeto para esta Casa. Nós temos ainda a participação fundamental do Deputado Samuel Moreira, um dos orgulhos do PSDB, pessoa altamente competente e comprometida com o bem do País. Em seu relatório, o Relator acertou inúmeros pontos que eram uma exigência do nosso partido e um clamor da sociedade. Por exemplo, quanto à questão do BPC, o Benefício de Prestação Continuada é talvez um dos maiores programas sociais deste País, que ajuda as pessoas mais pobres e foi criado no nosso Governo do PSDB. Sabendo da sua importância para as famílias carentes, retiramos os excessos que eram cometidos. Da mesma maneira, sobre a questão da aposentadoria rural, nós todos temos uma ligação muito grande com os agricultores, com as agricultoras, e sabemos da vida sacrificante de todos eles. Realmente, eles merecem um tratamento especial. Novamente, o Relator foi bastante justo no seu texto e produziu, no final, a partir de um clamor nosso, um relatório em que preserva o direito dos agricultores e das agricultoras, desses milhões de brasileiros que contribuem com a riqueza do País e que lutam com muito sacrifício. Reunião de: 04/07/2019 Agora, chegou a hora da votação dos destaques. É importante lembrar que estamos produzindo uma reforma justa. Nessa reforma nós não colocamos uma classe de privilegiados, como existia anteriormente. Aliás, hoje, na Previdência Social, nós temos um desbalanceamento muito grande: há carreiras, especialmente do setor público, altamente favorecidas, e há outras carreiras, do trabalhador da iniciativa privada, do trabalhador comum, enormemente sacrificadas. A espinha dorsal, a filosofia dessa reforma da Previdência é a justiça social: quem ganha mais contribui com mais e quem ganha menos contribui com menos, é menos sacrificado. Ao analisarmos todos os destaques, é fundamental que esta Casa, especialmente esta Comissão, não permita que a injustiça venha à tona. Nós analisamos tanto esse projeto, nos debruçamos tanto sobre ele, lutamos tanto por ele, para que não seja permitida a perpetuação de injustiças. Não podemos ter uma carreira que seja privilegiada em relação a milhões de brasileiros, ou mesmo em relação a outras carreiras. O sacrifício é para ser repartido por todos. Só assim esta Comissão logrará êxito naquilo a que se propõe. Ao encerrar minhas palavras, quero aqui manifestar a vontade do PSDB de continuar contribuindo com o País. Vamos estar também nos debruçando sobre isso no plenário da Câmara dos Deputados e, depois, no Senado da República. Parabéns ao Relator Samuel Moreira! Parabéns ao Presidente, ao Vice-Presidente e a todos nós desta Comissão... (Desligamento automático do microfone.)",04/07/2019
MARCELO RAMOS,PRB,PE,"Para o encaminhamento contrário, eu quero fazer uma indagação: estava inscrito o Deputado Alessandro Molon, e a Deputada Perpétua Almeida pediu a substituição. É acordo entre os dois ou não?",04/07/2019
ALESSANDRO MOLON,PSB,RJ,"Não, Presidente. Na verdade, eu já havia me comprometido a ceder o tempo ao Deputado Ivan Valente, que estava na fila também. Houve uma dúvida sobre quem tinha chegado primeiro. Então, por deferência, em respeito ao Deputado Ivan Valente, eu cedo o tempo de encaminhamento a ele. Eu já havia assumido esse compromisso. Adoraria poder cedê-lo para a Deputada Perpétua Almeida, mas já havia me comprometido com o Deputado Ivan Valente. Obrigado, Presidente.",04/07/2019
MARCELO RAMOS,PRB,PE,"Eu quis, Deputada Perpétua, fazer essa consulta para não haver nenhum atropelo. Sigo a orientação do Líder Molon, como estava inscrito, e passo a palavra ao Deputado Ivan Valente, por 5 minutos.",04/07/2019
IVAN VALENTE,PSOL,SP,"Sr. Presidente, peço a V.Exa. que solicite um pouco mais de concentração, de silêncio aqui. Está difícil falar. Peço a V.Exa. que volte o meu tempo. E já lhe agradeço por isso.",04/07/2019
MARCELO RAMOS,PRB,PE,"Será revisto o tempo de V.Exa. Eu quero pedir ao Plenário, a todos aqui presentes, que possamos fazer um pouco mais de silêncio, para podermos ouvir os oradores inscritos. É um apelo que faço aos senhores aqui presentes, em nome da Mesa. Com a palavra o Deputado Ivan Valente.",04/07/2019
IVAN VALENTE,PSOL,SP,"Sr. Presidente, Sras. e Srs. Deputados, em primeiro lugar, eu queria dizer que nós estamos na reta final dessa votação. Estamos lidando com 200 milhões de brasileiros. Nós estamos impactando todas as famílias brasileiras. Há uma enorme responsabilidade aqui. Nós estamos falando de proteção social. Os números não desmentem aquilo que pretendemos provar. Eu estou falando para o Brasil. Do 1 trilhão de reais que o Sr. Paulo Guedes colocou e de quem com ele acordou aqui para votar essa reforma, 850 bilhões de reais sairão do povo brasileiro que ganha até 3 ou 4 salários mínimos Š a maioria ganha até 2 salários mínimos. Eu quero dizer que eles têm medo de expor os números. Eles estão fazendo as contas, e elas não chegaram aqui na Casa. Os cálculos chegaram apenas ontem. Por exemplo, a pensão por morte é menor do que 1 salário mínimo. Isso é criminoso, atenta contra a Constituição da República. Em segundo lugar, e nenhum Deputado tocou ainda no assunto: por que nós temos que pegar o abono salarial de 1 a 2 salários mínimos e arrancar 100 bilhões de reais, mesmo com a correção do Relator, que não é nem previdenciário? É cinismo tirar 100 bilhões de reais dos trabalhadores que ganham de 1 a 2 salários mínimos. Mais do que isso, há o tempo de contribuição de 40 anos. É inviável, é improvável as pessoas chegarem a 40 anos de contribuição no País do desemprego, no País da informalidade, no País da sazonalidade, que, quando trabalha, e trabalha mesmo, a contribuição é de 5 meses por ano. É bem provável que, indo para 20 anos, grande parte não consiga se aposentar. E ainda esticam o tempo para fazer Reunião de: 04/07/2019 isso. Ou seja, quem está sendo esfolado aqui são os trabalhadores. Passar para 100% das contribuições não é possível, porque saiu de 80% das máximas contribuições para 100%. Só aqui se perde 20%. Cada trabalhador do FGTS perde 20%. Quem disse aqui que a reforma vai gerar emprego e melhorar economia não está falando a verdade. É o contrário, a reforma é recessiva. Vai-se tirar 1 trilhão de reais de circulação da economia brasileira. Quando se tira da economia brasileira, não há gasto, não há consumo, o comércio vai mal, a indústria vai mal, e o ciclo, em vez de ser virtuoso, é contra o desenvolvimento; é o ciclo do PIB zero ou negativo. Acreditar que isso só pode ser feito para ganhar a confiança do mercado internacional é criminoso. Nós ouvimos esse papo aqui há 20 anos:  Vai gerar emprego, vai distribuir renda, vai baixar juros . É mentira! Isso aqui é para o mercado financeiro. E digo mais: o Sr. Jair Bolsonaro acaba de dizer à  Folha de S.Paulo  que errou ao não ter colocado regras mais brandas para os policiais. E as professoras? Sabe-se que 85% do magistério brasileiro é formado por mulheres. Cadê as professoras? E os milhões de trabalhadores do regime geral? Ele não errou, não? Ele só errou quanto aos policiais? Cínico! O Bolsonaro é um cínico! Nós temos soluções, sim, e estão aqui. Nós vamos apresentar um destaque. Só com a taxação de lucros e dividendos, nós teríamos 550 bilhões de reais em 10 anos; com o imposto sobre grandes fortunas, 476 bilhões de reais; com a majoração de alíquota do Imposto sobre Transmissão  Causa Mortis,  350 bilhões de reais. Sacrificar o povo brasileiro, mentir para o povo brasileiro, tirar direitos e impedir aposentadorias é, sem dúvida, uma política criminosa. Eles não têm argumentos, vocês não têm argumento para dizer que os pobres não vão pagar a crise. São os pobres que vão pagar. Nós estamos do lado dos pobres.",04/07/2019
MARCELO RAMOS,PRB,PE,"Para encaminhar a favor, tem a palavra o Deputado Darci de Matos, do PSD.  (Pausa.) Ausente. Tem a palavra o Deputado José Nelto.  (Pausa.) Deputado Paulo Ramos, qual é a questão de ordem?",04/07/2019
PAULO RAMOS,PDT,RJ,"Presidente, art. 162, inciso II. Quero passar uma informação importante, tendo em vista a velocidade dos trabalhos nesta Comissão: a Rainha da Inglaterra acaba de autoproclamar-se Presidenta do Brasil. Sr. Presidente, o art. 162, inciso II, diz:  antes de iniciar a votação da matéria principal, a Presidência dará conhecimento ao Plenário dos requerimentos de destaque apresentados à Mesa . Quero requerer, com base nesse dispositivo regimental, a leitura de todos os destaques que foram encaminhados à Mesa, para que possamos conhecê-los e decidir sobre a votação. Os destaques são individuais.",04/07/2019
MARCELO RAMOS,PRB,PE,"Deputado Paulo Ramos, acho que V.Exa. não percebeu. Respondendo à questão de ordem de V.Exa., informo que o Presidente Marcelo Ramos, logo no início da sessão, anunciou o número de destaques apresentados. Foram apresentados 142 destaques, sendo retirados 20. Restaram, portanto, 23 destaques de bancada e 99 individuais. A lista encontra-se disponível no sistema, na página da Comissão, para a apreciação de V.Exas.",04/07/2019
PAULO RAMOS,PDT,RJ,"Presidente, o Regimento não fala em dar conhecimento do número de destaques. Eu estou requerendo a leitura dos destaques. São destaques que serão apreciados. Eu estou requerendo, com base nesse dispositivo, a leitura de todos os destaques antes de iniciarmos o processo de votação.",04/07/2019
MARCELO RAMOS,PRB,PE,"Deputado, eu indefiro a questão de ordem de V.Exa., até porque, na hora de apreciação dos destaques, vai ser destaque por destaque. Isso vai ser lido, para a apreciação dos nobres Parlamentares.",04/07/2019
JANDIRA FEGHALI,B,RJ,"Não, Presidente. Para votar o texto, é preciso saber os destaques que serão votados, antes de votar o texto.",04/07/2019
MARCELO RAMOS,PRB,PE,Isso.,04/07/2019
JANDIRA FEGHALI,B,RJ,Antes!,04/07/2019
MARCELO RAMOS,PRB,PE,Não! Reunião de: 04/07/2019,04/07/2019
JANDIRA FEGHALI,B,RJ,"As pessoas podem decidir se votarão ou não a favor, dependendo dos destaques.",04/07/2019
MARCELO RAMOS,PRB,PE,"Deputada Jandira, é matéria...",04/07/2019
JANDIRA FEGHALI,B,RJ,"Não, Presidente.",04/07/2019
DARCÍSIO PERONDI,MDB,RS,Já indeferiu. (Intervenções simultâneas ininteligíveis.),04/07/2019
MARCELO RAMOS,PRB,PE,O parecer...,04/07/2019
JANDIRA FEGHALI,B,RJ,"Isso define o voto dos Deputados, o texto.",04/07/2019
MARCELO RAMOS,PRB,PE,"Deputada Jandira, a matéria é votada, ressalvando-se os destaques, que serão apreciados posteriormente.",04/07/2019
JANDIRA FEGHALI,B,RJ,"Mas é preciso saber quais são os destaques, porque isso define o voto na matéria.",04/07/2019
DARCÍSIO PERONDI,MDB,RS,Estão no sistema.,04/07/2019
MARCELO RAMOS,PRB,PE,Já estão no sistema.,04/07/2019
DARCÍSIO PERONDI,MDB,RS,"Estão no sistema, Presidente.",04/07/2019
PAULO RAMOS,PDT,RJ,"Não, mas aqui diz que dará conhecimento...",04/07/2019
MARCELO RAMOS,PRB,PE,Com a palavra... (Intervenções simultâneas ininteligíveis.),04/07/2019
ALICE PORTUGAL,B,BA,"Mas você não é contra o sistema, Perondi?",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Presidente, pela ordem.",04/07/2019
MARCELO RAMOS,PRB,PE,"Para encaminhar, tem a palavra o Deputado José Nelto.",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Presidente, eu quero fazer uma questão de ordem, com base no art. 272.",04/07/2019
MARCELO RAMOS,PRB,PE,"Qual é a questão de ordem, Deputado?",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Presidente, o art. 272 diz que será permitido a qualquer pessoa, convenientemente trajada, o acesso ao plenário para assistir às reuniões das Comissões. Eu saí ali fora, para dar uma entrevista, e vi que várias categorias querem ter acesso aos debates aqui na Comissão. (Intervenções simultâneas ininteligíveis.)",04/07/2019
JOSÉ GUIMARÃES,PT,CE,Vocês é que estão dirigindo ou é o Presidente Silvio?,04/07/2019
MARCELO RAMOS,PRB,PE,"Deputado Guimarães, continua com a palavra V.Exa.",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Portanto, é necessário que V.Exa. determine que aquelas pessoas ou categorias que estão lá, que não são muitas, possam ter acesso a este plenário livremente. Não pode haver essa vedação. Alguém determinou, e não publicizou aqui dentro, que as pessoas, os cidadãos não tivessem acesso ao plenário da Comissão. Então, eu levanto a questão de ordem, pedindo a V.Exa. que discuta conosco os critérios e determine que as pessoas tenham acesso à discussão nesta Comissão. Isso aqui não é feudo de ninguém. Isso pertence à Câmara, ao Parlamento. É a Comissão de Constituição e Justiça que está discutindo a matéria. (Intervenções simultâneas ininteligíveis.)",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Eu tenho tempo ainda. Presidente, V.Exa. sabe que eu ainda tenho tempo. Portanto, é muito importante, porque nós não estamos debatendo qualquer matéria.",04/07/2019
GUILHERME MUSSI,PP,SP,"Presidente, já foi colocada a questão de ordem. Agora, o Deputado está expressando a opinião dele. Reunião de: 04/07/2019",04/07/2019
JOSÉ GUIMARÃES,PT,CE,Não estamos discutindo aqui qualquer matéria. É matéria que diz respeito à vida das pessoas.,04/07/2019
MARCELO RAMOS,PRB,PE,"Deputado Guimarães, V.Exa. já fez a questão de ordem?  (Pausa.) Queria só fazer um apelo ao Plenário...",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Presidente, nós temos o tempo 3 minutos para fazer, V.Exa. sabe que eu tenho. Portanto, eu uso os 3 minutos, e falta 1 minuto.",04/07/2019
MARCELO RAMOS,PRB,PE,Perfeito!,04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Portanto, esta vedação é antidemocrática: não permitir às pessoas terem acesso a esta Comissão. Por que esse cuidado para não deixar ninguém ver? Estão com medo dos votos? É importante que o País saiba, neste momento, como nós estamos votando. Não estamos nem discutindo o mérito dessa questão. É para que V.Exa. determine ou nos informe qual critério foi utilizado para os brasileiros e brasileiras que estão ali fora não terem acesso a esta Comissão. É uma questão que diz respeito ao funcionamento da principal Comissão e uma das principais matérias que nós estamos debatendo aqui. Portanto, é importante. Nós pedimos esclarecimentos e, ao mesmo tempo, que V.Exa. determine que as pessoas que se credenciarem ali possam ter acesso a nossa Comissão.",04/07/2019
MARCELO RAMOS,PRB,PE,"Deputado José Guimarães, primeiro, esta reunião está sendo transmitida oficialmente pela  TV Câmara  e por várias emissoras de televisão. Segundo, nós definimos, desde o primeiro momento, critérios de acesso às reuniões, de forma democrática, de comum acordo com todos os Parlamentares. E nós estamos baseados no Ato da Mesa nº 106, de 2013, além da representação popular de cada um de nós, que fomos eleitos pelo povo do Brasil. Eu penso que, além de o plenário já estar lotado, o povo brasileiro está representado pelos Parlamentares e está, neste momento, nos assistindo e acompanhando pela imprensa, pelas rádios e pela televisão. Tem a palavra o Deputado José Nelto.  (Pausa.)",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Sr. Presidente, eu só quero lembrar a V.Exa. que um ato da Mesa não é maior do que o Regimento. V.Exa. sabe disso. O Regimento guarda o funcionamento do plenário das Comissões e do Plenário Ulysses Guimarães. Nós não podemos nos basear nesse decreto de orientação, porque ele não é maior do que o Regimento da Casa. O Regimento, Sr. Presidente, é que orienta o funcionamento da Comissão.",04/07/2019
MARCELO RAMOS,PRB,PE,"Deputado Guimarães, eu tenho profundo respeito por V.Exa., mas essa é matéria vencida e lhe faço um apelo para nós podermos avançar. Tem a palavra o Deputado José Nelto, por 5 minutos, para encaminhar.  (Pausa.)",04/07/2019
GLEISI HOFFMANN,PT,PR,"Sr. Presidente, eu quero fazer uma questão de ordem.",04/07/2019
MARCELO RAMOS,PRB,PE,Qual é a questão de ordem?,04/07/2019
GLEISI HOFFMANN,PT,PR,"Art. 74, inciso VII. Eu fiz essa questão de ordem no início dos trabalhos e tenho o direito a fazer um recurso sobre ela. E como eu tenho aqui em mão material para tanto, eu queria me referir a isso. Meu partido foi citado e ofendido aqui.",04/07/2019
GUILHERME MUSSI,PP,SP,"Não cabe recurso a questão de ordem, Presidente. Tem que recorrer.",04/07/2019
GLEISI HOFFMANN,PT,PR,Eu pedi o direito de resposta.,04/07/2019
MARCELO RAMOS,PRB,PE,Deputada...,04/07/2019
GLEISI HOFFMANN,PT,PR,O Presidente Marcelo... (Intervenções simultâneas ininteligíveis.),04/07/2019
GLEISI HOFFMANN,PT,PR,"Deixe-me explicar, Presidente, por favor. Eu tenho tempo.",04/07/2019
GUILHERME MUSSI,PP,SP,Não cabe recurso.,04/07/2019
GLEISI HOFFMANN,PT,PR,O Presidente Marcelo negou. (Intervenções simultâneas ininteligíveis.) Reunião de: 04/07/2019,04/07/2019
GLEISI HOFFMANN,PT,PR,"Eu quero trazer a esta Comissão uma situação que aconteceu no plenário da Casa no dia 12 de junho de 2019, uma quarta-feira, quando a Deputada Jandira Feghali pediu à então Presidente da sessão, porque a Oposição foi citada e tinha direito... (Intervenções simultâneas ininteligíveis.)",04/07/2019
GLEISI HOFFMANN,PT,PR,A Presidenta da sessão... (Intervenções simultâneas ininteligíveis.),04/07/2019
GLEISI HOFFMANN,PT,PR,"Eu quero falar. Escute, depois você fala.",04/07/2019
MARCELO RAMOS,PRB,PE,A Deputada Gleisi está fazendo...,04/07/2019
JOSÉ GUIMARÃES,PT,CE,Presidente...,04/07/2019
GLEISI HOFFMANN,PT,PR,"Eu quero que restitua o meu tempo, por favor, Presidente. (Intervenções simultâneas ininteligíveis.)",04/07/2019
MARCELO RAMOS,PRB,PE,"Deputada, não cabe.",04/07/2019
GLEISI HOFFMANN,PT,PR,Mas eu quero terminar a minha argumentação.,04/07/2019
MARCELO RAMOS,PRB,PE,"Eu vou deixar que V.Exa. conclua, mas não cabe esse encaminhamento, essa questão de ordem. E peço a V.Exa. que a encaminhe à Presidência da Câmara por escrito.",04/07/2019
GLEISI HOFFMANN,PT,PR,"Deixe-me falar, Sr. Presidente. Por favor, eu tenho o direito de falar. Eu estou dizendo que eu tenho em mão aqui a ata da sessão plenária da Câmara dos Deputados do dia 12 de junho, em que a Deputada Jandira Feghali solicitou à Presidenta da sessão direito de resposta, porque a Oposição foi citada, a Liderança da Oposição. E a Deputada Geovania de Sá, que presidia a sessão, concedeu a palavra à Deputada Jandira logo após o Deputado Marcelo Ramos ter falado na sessão. O Deputado Marcelo Ramos deve se lembrar disso. Portanto, nós temos precedente, sim, de que, quando é citada Liderança de Oposição ou partido, nós fazermos e exercermos o direito de resposta. Eu quero exercer esse direito. O partido foi citado, foi ofendido. Eu sou Presidenta do Partido dos Trabalhadores e fui subjetivamente citada junto. Então, eu tenho o direito de resposta, por favor.",04/07/2019
MARCELO RAMOS,PRB,PE,"Deputada, essa matéria é vencida. Eu faço um apelo a V.Exa. para que a encaminhe ao Presidente da Casa por escrito, até porque isso já é uma matéria vencida. O Deputado José Nelto tem tentado falar. V.Exa. tem a palavra por 5 minutos, Deputado.  (Pausa.)",04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Sr. Presidente, deixe-me só dar uma sugestão para a Mesa. Deputado Marcelo, Deputado Silvio, peço 1 minuto, por favor.",04/07/2019
MARCELO RAMOS,PRB,PE,O Deputado José Nelto está com a palavra. Depois V.Exa. faz a indagação.,04/07/2019
